City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
Albany,US,42.6,-73.97,1591708569.0,0.0,57.0,66.0,0.74
Teya,RU,60.38,92.63,1591708704.0,36.0,59.0,53.26,6.55
Provideniya,RU,64.38,-173.3,1591708705.0,0.0,65.0,46.06,6.96
Golden,US,39.76,-105.22,1591708464.0,90.0,87.0,46.0,18.34
Takoradze,GH,4.88,-1.76,1591708705.0,68.0,78.0,82.47,9.19
Sitka,US,57.05,-135.33,1591708706.0,1.0,75.0,46.4,5.1
Mataura,NZ,-46.19,168.86,1591708706.0,94.0,81.0,46.99,1.99
Cape Town,ZA,-33.93,18.42,1591708566.0,0.0,64.0,72.0,10.29
Puerto Ayora,EC,-0.74,-90.35,1591708706.0,66.0,89.0,73.0,7.0
Arlit,NE,18.74,7.39,1591708706.0,0.0,5.0,114.28,11.41
Saldanha,ZA,-33.01,17.94,1591708707.0,0.0,56.0,69.8,5.82
Iqaluit,CA,63.75,-68.51,1591708707.0,90.0,92.0,32.0,12.75
Meuselwitz,DE,51.05,12.3,1591708707.0,100.0,52.0,66.2,6.93
Eyrarbakki,IS,63.86,-21.15,1591708707.0,75.0,76.0,55.0,11.41
Mahébourg,MU,-20.41,57.7,1591708707.0,75.0,64.0,73.4,14.99
Guerrero Negro,MX,27.98,-114.06,1591708708.0,0.0,74.0,61.81,2.44
Barrow,US,71.29,-156.79,1591708502.0,90.0,92.0,28.4,6.93
Kurāra,IN,25.98,79.98,1591708697.0,1.0,15.0,106.57,8.95
Ushuaia,AR,-54.8,-68.3,1591708590.0,75.0,69.0,37.4,7.16
Touros,BR,-5.2,-35.46,1591708708.0,75.0,74.0,82.4,5.82
Port Alfred,ZA,-33.59,26.89,1591708709.0,0.0,28.0,84.99,5.01
Ozinki,RU,51.18,49.68,1591708709.0,98.0,48.0,76.46,2.55
Ballina,AU,-28.87,153.57,1591708709.0,40.0,77.0,64.4,9.17
Matara,LK,5.95,80.54,1591708709.0,47.0,84.0,81.72,10.02
Busselton,AU,-33.65,115.33,1591708516.0,100.0,60.0,53.01,7.45
Bethel,US,41.37,-73.41,1591708413.0,1.0,46.0,71.6,3.36
Hithadhoo,MV,-0.6,73.08,1591708523.0,100.0,66.0,84.49,5.06
Castro,BR,-24.79,-50.01,1591708710.0,0.0,83.0,68.67,9.15
Parakou,BJ,9.34,2.63,1591708710.0,100.0,65.0,80.31,3.51
Béja,TN,36.73,9.18,1591708710.0,75.0,68.0,78.8,10.29
Sakakah,SA,29.97,40.21,1591708710.0,0.0,6.0,104.0,4.7
Kilinochchi,LK,9.4,80.4,1591708710.0,100.0,72.0,84.52,12.39
Batemans Bay,AU,-35.72,150.18,1591708710.0,100.0,94.0,50.0,4.68
Pāsighāt,IN,28.07,95.33,1591708711.0,0.0,69.0,82.42,0.87
Baghdad,IQ,33.34,44.4,1591708588.0,0.0,9.0,113.0,3.36
Varhaug,NO,58.61,5.65,1591708481.0,75.0,76.0,55.0,10.29
Geraldton,AU,-28.77,114.6,1591708711.0,100.0,71.0,55.4,5.82
Khatanga,RU,71.97,102.5,1591708711.0,77.0,42.0,50.56,8.52
Esso,RU,55.93,158.7,1591708711.0,0.0,79.0,41.41,3.74
Fortuna,US,40.6,-124.16,1591708712.0,1.0,100.0,48.0,9.17
Kavaratti,IN,10.57,72.64,1591708712.0,100.0,75.0,85.21,14.79
Masakin,TN,35.73,10.58,1591708712.0,40.0,54.0,84.2,6.93
Santa Elena,EC,-2.23,-80.85,1591708712.0,75.0,83.0,71.6,14.99
Lavrentiya,RU,65.58,-171.0,1591708712.0,12.0,87.0,35.8,4.68
Dunedin,NZ,-45.87,170.5,1591708623.0,51.0,51.0,53.01,8.14
Pokaran,IN,26.92,71.92,1591708713.0,7.0,21.0,105.26,8.1
Maun,BW,-19.98,23.42,1591708713.0,0.0,26.0,78.8,8.05
Mareeba,AU,-17.0,145.43,1591708713.0,75.0,88.0,69.8,10.29
Don Luan,VN,11.53,106.92,1591708515.0,100.0,82.0,80.8,2.64
Kati,ML,12.74,-8.07,1591708713.0,100.0,37.0,96.8,4.7
Ribeira Grande,PT,38.52,-28.7,1591708713.0,20.0,60.0,68.0,9.17
Chokurdakh,RU,70.63,147.92,1591708713.0,9.0,72.0,42.71,13.76
Thompson,CA,55.74,-97.86,1591708714.0,90.0,100.0,46.4,5.82
Hobart,AU,-42.88,147.33,1591708421.0,20.0,61.0,46.4,11.41
Mossamedes,AO,-15.2,12.15,1591708714.0,0.0,46.0,79.93,14.36
Dikson,RU,73.51,80.55,1591708714.0,100.0,95.0,36.32,20.8
Talnakh,RU,69.49,88.4,1591708714.0,98.0,37.0,50.0,6.71
Riachão das Neves,BR,-11.75,-44.91,1591708714.0,0.0,49.0,81.27,5.03
Saskylakh,RU,71.92,114.08,1591708715.0,0.0,63.0,42.64,5.28
Gizo Government Station,SB,-8.1,156.84,1591708715.0,98.0,75.0,83.35,5.23
Rikitea,PF,-23.12,-134.97,1591708715.0,100.0,85.0,75.85,14.38
Basco,PH,20.45,121.97,1591708715.0,100.0,79.0,84.54,10.89
Husavik,IS,66.04,-17.34,1591708715.0,75.0,58.0,57.2,9.17
Hofn,IS,64.25,-15.21,1591708716.0,20.0,71.0,51.8,10.29
Toora-Khem,RU,52.47,96.11,1591708716.0,100.0,88.0,45.97,4.41
Cidreira,BR,-30.18,-50.21,1591708716.0,94.0,77.0,63.64,3.31
Jambi City,ID,-1.6,103.62,1591708716.0,20.0,82.0,79.48,2.53
Chui,UY,-33.7,-53.46,1591708717.0,0.0,83.0,57.69,6.96
Jacareacanga,BR,-6.22,-57.75,1591708717.0,0.0,61.0,83.39,2.82
Suntar,RU,62.14,117.63,1591708717.0,100.0,91.0,50.05,1.9
Muros,ES,42.78,-9.06,1591708717.0,83.0,52.0,66.99,7.0
Hermanus,ZA,-34.42,19.23,1591708717.0,9.0,67.0,66.99,5.01
Province of Mantua,IT,45.17,10.78,1591708717.0,1.0,53.0,75.99,3.0
Jamestown,US,42.1,-79.24,1591708718.0,1.0,77.0,64.99,3.36
Vaini,TO,-21.2,-175.2,1591708718.0,75.0,94.0,73.4,5.82
Vao,NC,-22.67,167.48,1591708718.0,62.0,82.0,72.54,21.72
Ixtapa,MX,20.7,-105.2,1591708718.0,5.0,94.0,75.0,2.24
Upernavik,GL,72.79,-56.15,1591708719.0,21.0,95.0,32.11,1.9
Mariveles,PH,14.48,120.48,1591708719.0,40.0,78.0,87.8,4.7
Punta Arenas,CL,-53.15,-70.92,1591708719.0,20.0,93.0,35.6,14.99
Avarua,CK,-21.21,-159.78,1591708719.0,90.0,83.0,73.4,4.7
São João da Barra,BR,-21.64,-41.05,1591708719.0,75.0,83.0,73.4,2.24
Wajima,JP,37.4,136.9,1591708719.0,0.0,70.0,71.22,8.39
Cabo San Lucas,MX,22.89,-109.91,1591708490.0,0.0,85.0,75.0,3.0
Necochea,AR,-38.55,-58.74,1591708563.0,0.0,80.0,46.99,8.01
Kapaa,US,22.08,-159.32,1591708720.0,90.0,88.0,75.2,6.93
Carnarvon,AU,-24.87,113.63,1591708720.0,0.0,51.0,72.91,9.01
Yellowknife,CA,62.46,-114.35,1591708557.0,90.0,86.0,39.2,16.11
Kulunda,RU,52.57,78.94,1591708720.0,76.0,47.0,71.71,11.68
Bud,US,39.45,-86.18,1591708721.0,1.0,69.0,77.0,13.82
New Norfolk,AU,-42.78,147.06,1591708721.0,20.0,80.0,46.0,3.24
Kruisfontein,ZA,-34.0,24.73,1591708721.0,0.0,23.0,81.9,15.37
Longyearbyen,SJ,78.22,15.64,1591708722.0,75.0,87.0,37.4,13.87
Lebu,CL,-37.62,-73.65,1591708722.0,79.0,69.0,50.11,7.07
Atuona,PF,-9.8,-139.03,1591708722.0,1.0,80.0,79.93,20.67
Arraial do Cabo,BR,-22.97,-42.03,1591708723.0,75.0,78.0,75.2,6.93
Bredasdorp,ZA,-34.53,20.04,1591708614.0,16.0,28.0,68.0,2.77
Nikolskoye,RU,59.7,30.79,1591708723.0,94.0,53.0,89.01,13.42
Ahipara,NZ,-35.17,173.17,1591708724.0,10.0,81.0,54.07,7.36
Qaanaaq,GL,77.48,-69.36,1591708724.0,0.0,87.0,32.34,4.85
Puerto Escondido,MX,15.85,-97.07,1591708532.0,40.0,88.0,77.0,4.7
Tasiilaq,GL,65.61,-37.64,1591708725.0,75.0,86.0,39.2,2.24
Zhukovka,RU,53.53,33.73,1591708725.0,40.0,35.0,86.0,8.95
Sirte,LY,31.21,16.59,1591708726.0,14.0,56.0,78.12,10.49
Mayumba,GA,-3.43,10.66,1591708726.0,69.0,76.0,78.04,7.49
Bengkulu,ID,-3.8,102.27,1591708456.0,2.0,84.0,79.5,6.06
Belyy Yar,RU,53.6,91.39,1591708726.0,40.0,81.0,51.8,8.95
Chitral,PK,35.85,71.79,1591708727.0,2.0,28.0,79.02,6.96
Aswān,EG,24.09,32.91,1591708727.0,0.0,8.0,110.03,8.3
Laguna,US,38.42,-121.42,1591708727.0,1.0,76.0,57.0,1.19
Coxim,BR,-18.51,-54.76,1591708727.0,0.0,61.0,80.8,4.61
Camacha,PT,33.08,-16.33,1591708727.0,40.0,60.0,68.0,12.75
Acapulco de Juárez,MX,16.86,-99.89,1591708727.0,40.0,83.0,80.6,6.53
Wahpeton,US,46.27,-96.61,1591708728.0,99.0,88.0,66.2,13.87
Arkhara,RU,49.42,130.08,1591708728.0,0.0,65.0,62.29,13.0
Oktyabr'skiy,RU,54.48,53.47,1591708728.0,100.0,67.0,69.71,9.86
Port Elizabeth,ZA,-33.92,25.57,1591708728.0,0.0,17.0,86.0,13.87
Riviere-au-Renard,CA,49.0,-64.4,1591708728.0,40.0,57.0,50.0,11.41
San Quintín,MX,30.48,-115.95,1591708729.0,0.0,54.0,62.8,0.22
Tshikapa,CD,-6.42,20.8,1591708729.0,0.0,23.0,96.51,4.07
Tiksi,RU,71.69,128.87,1591708729.0,100.0,96.0,29.48,9.26
Lebedinyy,RU,58.52,125.52,1591708729.0,99.0,82.0,47.64,3.24
Beringovskiy,RU,63.05,179.32,1591708729.0,0.0,72.0,42.12,6.04
Umm Kaddadah,SD,13.6,26.69,1591708730.0,0.0,11.0,104.22,5.41
Maxixe,MZ,-23.86,35.35,1591708730.0,40.0,69.0,78.01,9.17
Bluff,NZ,-46.6,168.33,1591708730.0,65.0,81.0,46.99,1.99
Butaritari,KI,3.07,172.79,1591708730.0,100.0,79.0,83.5,12.39
East London,ZA,-33.02,27.91,1591708730.0,79.0,21.0,82.4,13.87
Andapa,MG,-14.65,49.65,1591708730.0,70.0,79.0,69.26,3.29
George Town,MY,5.41,100.34,1591708730.0,20.0,79.0,86.0,5.82
Hualmay,PE,-11.1,-77.61,1591708731.0,100.0,78.0,63.45,4.83
Sarankhola,BD,22.31,89.79,1591708731.0,0.0,70.0,86.59,7.96
Tual,ID,-5.67,132.75,1591708731.0,100.0,86.0,79.63,14.79
Tazovsky,RU,67.47,78.7,1591708731.0,68.0,87.0,51.13,3.02
Bambous Virieux,MU,-20.34,57.76,1591708731.0,75.0,64.0,73.4,14.99
Plettenberg Bay,ZA,-34.05,23.37,1591708731.0,0.0,23.0,83.37,15.48
Hamilton,US,39.18,-84.53,1591708645.0,1.0,73.0,80.6,7.78
Port Hawkesbury,CA,45.62,-61.35,1591708732.0,1.0,76.0,55.99,4.7
Nanortalik,GL,60.14,-45.24,1591708732.0,100.0,70.0,45.03,5.21
Ondo,NG,7.1,4.83,1591708732.0,97.0,71.0,83.46,5.08
Saint George,US,37.1,-113.58,1591708563.0,1.0,25.0,54.0,8.05
San Vicente,AR,-26.62,-54.13,1591708732.0,88.0,100.0,66.63,5.3
Hasaki,JP,35.73,140.83,1591708732.0,100.0,94.0,72.0,4.7
Saint-Joseph,RE,-21.37,55.62,1591708732.0,75.0,73.0,71.6,19.46
São Félix do Xingu,BR,-6.64,-51.99,1591708732.0,0.0,66.0,81.73,4.03
Hilo,US,19.73,-155.09,1591708732.0,20.0,78.0,71.6,5.82
Dakar,SN,14.69,-17.44,1591708733.0,0.0,58.0,86.0,2.24
Bilibino,RU,68.05,166.44,1591708733.0,100.0,44.0,58.87,10.16
Grand-Santi,GF,4.25,-54.38,1591708733.0,100.0,97.0,73.58,3.29
Goderich,CA,43.75,-81.72,1591708733.0,95.0,70.0,62.42,5.46
Seymchan,RU,62.88,152.43,1591708733.0,100.0,55.0,56.71,9.22
Port Moresby,PG,-9.44,147.18,1591708734.0,40.0,88.0,78.8,20.8
Mar del Plata,AR,-38.0,-57.56,1591708734.0,0.0,66.0,52.0,6.93
Pangnirtung,CA,66.15,-65.71,1591708734.0,90.0,86.0,33.8,11.41
Kangaatsiaq,GL,68.31,-53.46,1591708734.0,99.0,94.0,33.13,9.55
Villa Carlos Paz,AR,-31.42,-64.5,1591708734.0,75.0,87.0,54.0,2.24
Katsuura,JP,35.13,140.3,1591708734.0,100.0,73.0,75.99,13.87
Westport,US,41.14,-73.36,1591708734.0,1.0,52.0,71.01,5.82
Baykit,RU,61.67,96.37,1591708734.0,100.0,71.0,53.06,4.07
Port Blair,IN,11.67,92.75,1591708640.0,63.0,79.0,82.44,18.77
Okhotsk,RU,59.38,143.3,1591708735.0,100.0,94.0,42.21,8.63
Farafenni,GM,13.57,-15.6,1591708735.0,8.0,30.0,100.71,2.57
Saint-Philippe,RE,-21.36,55.77,1591708735.0,75.0,73.0,71.6,19.46
Mount Gambier,AU,-37.83,140.77,1591708735.0,100.0,93.0,37.4,3.36
São Felipe,BR,-14.82,-41.38,1591708735.0,0.0,49.0,79.59,4.45
Pevek,RU,69.7,170.31,1591708735.0,85.0,56.0,48.36,9.4
Alta Floresta,BR,-9.88,-56.09,1591708735.0,0.0,73.0,77.79,4.85
Zhangye,CN,38.93,100.45,1591708735.0,98.0,21.0,72.81,5.17
Mont-Dore,NC,-22.28,166.58,1591708735.0,20.0,99.0,73.99,8.5
Lagunas,PE,-5.23,-75.68,1591708736.0,7.0,83.0,78.08,1.12
Kayerkan,RU,69.35,87.76,1591708736.0,39.0,37.0,50.0,6.71
Camaná,PE,-16.62,-72.71,1591708736.0,35.0,73.0,65.44,6.24
Vestmannaeyjar,IS,63.44,-20.27,1591708736.0,3.0,76.0,50.0,9.17
Rocha,UY,-34.48,-54.33,1591708586.0,100.0,84.0,57.36,9.42
Aksu,CN,41.12,80.26,1591708736.0,100.0,30.0,75.9,4.09
Mt. Pleasant,US,32.79,-79.86,1591708736.0,90.0,100.0,81.0,2.77
Iskateley,RU,67.68,53.15,1591708737.0,100.0,57.0,76.39,7.38
Codrington,AU,-38.27,141.97,1591708737.0,100.0,85.0,41.76,7.83
Mugur-Aksy,RU,50.35,90.5,1591708737.0,100.0,55.0,46.74,9.86
Lompoc,US,34.64,-120.46,1591708681.0,0.0,93.0,50.0,4.7
Jiblah,YE,13.92,44.15,1591708737.0,96.0,37.0,77.74,5.84
Isangel,VU,-19.55,169.27,1591708737.0,75.0,94.0,75.2,14.85
Tilichiki,RU,60.47,166.1,1591708737.0,0.0,97.0,36.23,5.08
Laje,BR,-10.18,-40.97,1591708737.0,0.0,53.0,76.21,10.0
Ponta do Sol,PT,32.67,-17.1,1591708737.0,40.0,60.0,68.0,11.41
Neftçala,AZ,39.37,49.25,1591708738.0,0.0,42.0,80.04,11.27
Pangody,RU,65.85,74.49,1591708738.0,100.0,58.0,65.43,15.41
Gorin,RU,51.2,136.67,1591708738.0,100.0,90.0,61.36,3.31
Shestakovo,RU,56.49,103.96,1591708738.0,0.0,55.0,55.62,1.48
Cataguases,BR,-21.39,-42.7,1591708738.0,0.0,63.0,78.76,2.84
Alofi,NU,-19.06,-169.92,1591708738.0,100.0,93.0,66.2,1.12
Ancud,CL,-41.87,-73.82,1591708738.0,90.0,100.0,50.0,19.46
Barcelos,PT,41.54,-8.62,1591708739.0,96.0,56.0,77.0,16.11
San Patricio,MX,19.22,-104.7,1591708739.0,40.0,94.0,73.4,2.42
Quatre Cocos,MU,-20.21,57.76,1591708739.0,75.0,64.0,73.4,14.99
Manavālakurichi,IN,8.13,77.3,1591708739.0,20.0,66.0,87.8,9.17
Lázaro Cárdenas,MX,17.96,-102.2,1591708739.0,100.0,84.0,75.67,3.18
Tuktoyaktuk,CA,69.45,-133.04,1591708739.0,100.0,61.0,46.17,7.07
Teutônia,BR,-29.45,-51.81,1591708739.0,100.0,96.0,62.01,1.01
San Juan,AR,-31.54,-68.54,1591708679.0,0.0,40.0,54.3,6.42
Arrondissement de Saint-Denis,FR,48.92,2.33,1591708739.0,90.0,55.0,62.6,9.17
Narsaq,GL,60.92,-46.05,1591708740.0,75.0,66.0,48.2,4.7
Hayden,US,47.77,-116.79,1591708740.0,1.0,75.0,46.4,9.17
Naze,JP,28.37,129.48,1591708740.0,75.0,100.0,75.2,13.87
Constitución,CL,-35.33,-72.42,1591708740.0,6.0,83.0,50.32,4.29
Cherskiy,RU,68.75,161.3,1591708740.0,100.0,29.0,63.91,13.06
Granville,AU,-33.83,151.02,1591708740.0,93.0,95.0,57.0,2.71
Saint Paul Harbor,US,57.79,-152.41,1591708740.0,90.0,81.0,46.4,3.36
Quelimane,MZ,-17.88,36.89,1591708740.0,20.0,58.0,82.4,8.05
Klyuchi,RU,52.27,79.17,1591708741.0,44.0,45.0,71.64,13.51
Adrar,MR,20.5,-10.07,1591708741.0,100.0,33.0,93.43,8.66
Erenhot,CN,43.65,111.98,1591708741.0,100.0,26.0,70.86,16.2
Fort Nelson,CA,58.81,-122.7,1591708557.0,100.0,97.0,43.95,1.3
Rawson,AR,-43.3,-65.1,1591708742.0,57.0,44.0,51.57,23.98
Dingle,PH,11.0,122.67,1591708742.0,99.0,81.0,80.65,1.97
Paamiut,GL,61.99,-49.67,1591708743.0,100.0,85.0,40.05,7.63
Lata,PT,40.16,-8.33,1591708743.0,0.0,69.0,72.0,8.99
Labuhan,ID,-6.88,112.21,1591708744.0,87.0,78.0,80.22,6.4
Walvis Bay,NA,-22.96,14.51,1591708744.0,0.0,56.0,69.8,6.93
Rincon,US,32.3,-81.24,1591708507.0,75.0,94.0,80.6,6.93
Bilma,NE,18.69,12.92,1591708744.0,0.0,7.0,111.09,12.88
Jutaí,BR,-5.18,-68.9,1591708744.0,7.0,79.0,80.13,0.83
Buta,CD,2.79,24.73,1591708744.0,15.0,49.0,87.69,3.74
Klaksvík,FO,62.23,-6.59,1591708744.0,100.0,93.0,46.4,14.99
Tura,IN,25.52,90.22,1591708744.0,2.0,84.0,79.12,3.27
Morondava,MG,-20.28,44.28,1591708745.0,0.0,65.0,76.44,7.7
Price,US,39.6,-110.81,1591708745.0,1.0,56.0,42.8,9.17
Nome,US,64.5,-165.41,1591708684.0,1.0,69.0,39.2,4.7
Manggar,ID,-2.88,108.27,1591708745.0,28.0,81.0,82.45,11.45
Zhigansk,RU,66.77,123.37,1591708745.0,100.0,52.0,49.69,21.09
North Bend,US,43.41,-124.22,1591708745.0,75.0,76.0,54.0,3.36
Statesboro,US,32.45,-81.78,1591708745.0,90.0,94.0,80.6,3.36
Port Shepstone,ZA,-30.74,30.45,1591708745.0,0.0,53.0,72.81,16.55
Opunake,NZ,-39.46,173.86,1591708745.0,0.0,81.0,44.01,5.99
Lagoa,PT,39.05,-27.98,1591708745.0,12.0,69.0,63.45,5.61
Vangaindrano,MG,-23.35,47.6,1591708746.0,17.0,86.0,70.23,7.02
Yeppoon,AU,-23.13,150.73,1591708746.0,18.0,72.0,62.6,6.93
Torbay,CA,47.67,-52.73,1591708746.0,90.0,93.0,42.8,8.05
Benguela,AO,-12.58,13.41,1591708746.0,20.0,69.0,80.6,9.17
Kahului,US,20.89,-156.47,1591708447.0,1.0,73.0,73.4,5.82
Acajutla,SV,13.59,-89.83,1591708746.0,93.0,100.0,75.2,3.89
Vaitape,PF,-16.52,-151.75,1591708746.0,25.0,79.0,78.94,18.07
Progreso,MX,21.28,-89.67,1591708746.0,20.0,83.0,84.99,11.41
Coquimbo,CL,-29.95,-71.34,1591708746.0,100.0,64.0,50.0,10.29
Amalāpuram,IN,16.58,82.02,1591708747.0,100.0,66.0,87.12,4.41
Hanzhong,CN,33.07,107.03,1591708747.0,23.0,76.0,69.46,2.06
College,US,64.86,-147.8,1591708747.0,75.0,71.0,55.4,0.16
Manzanillo,CU,20.34,-77.12,1591708747.0,92.0,79.0,80.69,2.89
Nālūt,LY,30.33,10.85,1591708747.0,100.0,18.0,94.08,10.4
Pacific Grove,US,36.62,-121.92,1591708747.0,1.0,76.0,48.2,4.7
Nukus,UZ,42.45,59.61,1591708747.0,0.0,11.0,91.4,13.87
Hammerfest,NO,70.66,23.68,1591708747.0,75.0,68.0,42.8,10.29
Marsh Harbour,BS,26.54,-77.06,1591708747.0,100.0,77.0,80.91,5.19
Port Keats,AU,-14.25,129.55,1591708748.0,100.0,47.0,73.87,7.7
Yumen,CN,40.28,97.2,1591708748.0,0.0,15.0,73.58,10.25
Kyabé,TD,9.45,18.94,1591708748.0,54.0,37.0,95.76,10.07
Kuching,MY,1.55,110.33,1591708748.0,40.0,94.0,78.8,1.12
Rondonópolis,BR,-16.47,-54.64,1591708748.0,0.0,52.0,83.3,4.07
Teguise,ES,29.06,-13.56,1591708748.0,40.0,60.0,75.2,20.8
Ponta Porã,BR,-22.54,-55.73,1591708748.0,14.0,74.0,78.8,2.24
Tuatapere,NZ,-46.13,167.68,1591708748.0,85.0,81.0,46.99,1.99
Half Moon Bay,US,37.46,-122.43,1591708749.0,1.0,66.0,55.0,3.15
Ambulu,ID,-8.35,113.61,1591708749.0,20.0,84.0,74.43,4.56
Havre-St-Pierre,CA,50.23,-63.6,1591708749.0,40.0,56.0,48.2,9.17
Gladstone,AU,-23.85,151.25,1591708749.0,0.0,59.0,66.2,8.05
Santiago del Estero,AR,-27.8,-64.26,1591708749.0,100.0,75.0,66.2,2.51
Benghazi,LY,32.12,20.07,1591708749.0,82.0,64.0,76.84,15.35
Bykovo,RU,55.64,38.08,1591708749.0,3.0,48.0,82.4,8.95
Vardø,NO,70.37,31.11,1591708749.0,40.0,75.0,44.6,16.11
La Plata,AR,-34.92,-57.95,1591708749.0,87.0,85.0,54.0,1.01
